PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=0.614 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=0.600 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=0.408 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=0.308 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=0.307 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=0.578 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=0.583 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=0.509 ms

--- 10.0.0.2 ping statistics ---
200 packets transmitted, 190 received, 5% packet loss, time 7740ms
rtt min/avg/max/mdev = 0.274/0.620/5.034/0.496 ms
